Time (GMT): 	 Temp (deg C) 	 Humidity (%) 
  Sun, 21 Mar 2021 22:50:56 GMT	18.10	75.10
Sun, 21 Mar 2021 22:51:06 GMT	18.10	79.40
Sun, 21 Mar 2021 22:51:16 GMT	18.10	63.90
Sun, 21 Mar 2021 22:51:26 GMT	18.10	79.50
Sun, 21 Mar 2021 22:51:36 GMT	18.10	81.50
Sun, 21 Mar 2021 22:51:46 GMT	18.10	81.20
Sun, 21 Mar 2021 22:51:56 GMT	18.10	58.30
Sun, 21 Mar 2021 22:52:06 GMT	18.10	53.10
Sun, 21 Mar 2021 22:52:16 GMT	18.10	63.40
Sun, 21 Mar 2021 22:52:26 GMT	18.10	66.40
Sun, 21 Mar 2021 22:52:36 GMT	18.10	79.90
Sun, 21 Mar 2021 22:52:46 GMT	18.10	55.80
Sun, 21 Mar 2021 22:52:56 GMT	18.10	74.80
Sun, 21 Mar 2021 22:53:06 GMT	18.10	73.70
Sun, 21 Mar 2021 22:53:16 GMT	18.00	56.00
Sun, 21 Mar 2021 22:53:26 GMT	18.00	60.60
Sun, 21 Mar 2021 22:53:36 GMT	18.10	63.40
Sun, 21 Mar 2021 22:53:46 GMT	18.00	59.20
Sun, 21 Mar 2021 22:53:56 GMT	18.10	60.10
Sun, 21 Mar 2021 22:54:06 GMT	18.00	70.50
Sun, 21 Mar 2021 22:54:16 GMT	18.10	79.40
Sun, 21 Mar 2021 22:54:26 GMT	18.10	57.70
Sun, 21 Mar 2021 22:54:36 GMT	18.00	64.80
Sun, 21 Mar 2021 22:54:46 GMT	18.10	74.30
Sun, 21 Mar 2021 22:54:56 GMT	18.00	72.30
Sun, 21 Mar 2021 22:55:06 GMT	18.00	80.10
Sun, 21 Mar 2021 22:55:16 GMT	18.00	79.00
Sun, 21 Mar 2021 22:55:26 GMT	18.00	79.80
Sun, 21 Mar 2021 22:55:36 GMT	18.00	76.20
Sun, 21 Mar 2021 22:55:46 GMT	17.90	52.10
Sun, 21 Mar 2021 22:55:56 GMT	18.00	73.00
Sun, 21 Mar 2021 22:56:06 GMT	17.90	56.70
Sun, 21 Mar 2021 22:56:16 GMT	18.00	73.60
Sun, 21 Mar 2021 22:56:26 GMT	17.90	81.90
Sun, 21 Mar 2021 22:56:36 GMT	18.00	80.40
